gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000052363	0.13989313	-0.06650391	0.42728317	0.02989513	0.014210474	-0.07560586
ENSMUSG00000001833	0.036478486	0.44424543	-0.010543793	0.29012108	0.064562015	0.24895489
ENSMUSG00000104444	0.060823277	-0.106114596	0.42817634	-0.12548423	0.0070508844	-0.06290297
ENSMUSG00000025500	0.050160795	-0.05870767	0.023865879	0.06355097	0.033735495	-0.06807844
ENSMUSG00000039449	0.03544977	0.26113126	-0.007166815	0.07650366	0.050638806	0.18478435
ENSMUSG00000086657	0.062292084	0.54637355	0.39663693	0.26546952	0.038738377	0.21216038
ENSMUSG00000030116	0.07138595	-0.09349263	0.062062413	-0.0069028907	0.065581344	-0.029454628
ENSMUSG00000004934	0.012816635	0.3022014	-0.09906356	0.27604163	0.069480315	0.16636723
ENSMUSG00000017999	0.04997792	0.3790833	0.17265213	0.22921409	0.0623843	0.22887328
ENSMUSG00000078956	0.054515064	0.25873077	0.2737345	0.3006827	0.11080188	0.124980636
ENSMUSG00000036825	0.056851637	0.17463642	0.15538155	0.1850943	0.05953183	0.13815677
ENSMUSG00000021086	0.010060075	-0.08953593	-0.10549345	-0.12864499	0.07005852	-0.13284807
ENSMUSG00000027076	0.08184061	0.3131716	0.43509364	0.25465247	0.077093534	0.17327943
ENSMUSG00000032261	0.025714507	0.19343239	-0.07146455	0.1657872	0.030589748	0.13125382
ENSMUSG00000037813	0.020001031	-0.07284194	-0.118228644	-0.04071292	0.030602	-0.02262831
ENSMUSG00000021958	0.028026592	0.3810595	0.08293883	0.23305407	-0.010008993	0.18083295
ENSMUSG00000021759	0.04966525	0.32607684	0.1831339	0.29516056	0.07199979	0.17412877
ENSMUSG00000026869	0.043726057	0.38569868	0.26576895	0.25690818	0.062355697	0.2068395
ENSMUSG00000033671	0.029655091	0.3637984	-0.029491367	0.18024515	-0.02421763	0.23710895
ENSMUSG00000029217	0.021652432	0.091729864	-0.14336233	0.070197776	-0.004688653	0.12255317
ENSMUSG00000078143	0.034087278	0.24621838	0.10219001	0.14844912	-0.020256532	0.15499273
ENSMUSG00000082815	-0.3048825	-0.19310655	-0.31654462	-0.071973495	-0.16324374	-0.1453525
ENSMUSG00000051586	0.037363227	-0.13325588	0.09902188	0.022904368	0.04142647	-0.012774853
ENSMUSG00000058267	0.096150935	0.3656521	0.58165646	0.2270706	0.019057233	0.11315812
ENSMUSG00000087176	0.025509637	0.23271137	-0.032132734	0.15546057	-0.054004837	0.13111345
ENSMUSG00000024251	0.052530963	0.30669436	0.22400546	0.25296202	0.0034315784	0.15725814
ENSMUSG00000021314	0.015369445	0.09333571	-0.10186025	0.010755604	0.005892991	0.15222123
ENSMUSG00000029213	0.044825695	0.2368614	0.21213648	0.2312953	0.043458495	0.12974621
ENSMUSG00000021400	0.03114701	0.3264265	0.0131983645	0.19394116	0.06716227	0.19572848
ENSMUSG00000016757	0.03909706	0.16283889	0.0027023042	0.1383103	0.05594589	0.18086413
ENSMUSG00000029228	0.012546896	-0.07522392	-0.14090692	0.004021731	-0.013957269	-0.06723974
ENSMUSG00000048897	0.094735205	0.2898261	0.31138754	0.28789753	0.105420634	0.17214714
ENSMUSG00000024122	0.07715883	-0.045075938	0.199691	0.21162283	0.06051337	-0.060482014
ENSMUSG00000024163	0.031400066	0.26083592	0.055668656	0.17572829	0.032145873	0.15012577
