gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000100147	0.12921354	-0.16143596	0.1482152	-0.124168344	0.06780748	-0.08898032
ENSMUSG00000024327	0.23138471	0.9667741	0.8835677	0.5958314	0.22115803	0.47821575
ENSMUSG00000030538	0.17154618	0.62336636	0.7780202	0.5102255	0.13127744	0.3445608
ENSMUSG00000029299	0.010904546	-0.27796873	-0.34161156	-0.15779501	-0.101386234	-0.011051384
ENSMUSG00000071234	0.042735644	0.11421275	-0.2286591	0.04451139	0.07583821	0.045207027
ENSMUSG00000034755	-0.11174614	-0.45008644	-0.43198046	-0.2601059	-0.0843613	0.020346005
ENSMUSG00000034919	0.047125984	-0.11613559	-0.24841416	-0.044901304	0.08093621	0.12922738
ENSMUSG00000041801	0.23629929	0.51559085	0.80287963	0.4055814	0.16723879	0.33759975
ENSMUSG00000069895	0.099727474	0.6048156	0.5806849	0.33530378	0.06227148	0.32382384
ENSMUSG00000020734	0.13645001	-0.258312	0.114736594	-0.223111	0.18423544	0.039718613
ENSMUSG00000100546	-0.03336892	-0.2946869	-0.3040919	-0.41126886	-0.07707746	-0.31412333
ENSMUSG00000056429	0.12510379	0.7259985	0.7563538	0.49610808	0.16213991	0.39564592
ENSMUSG00000101628	0.08052879	-0.2023166	0.009868994	-0.32444844	0.1100487	-0.25693837
ENSMUSG00000089968	0.010813365	-0.23644696	-0.015780656	-0.064003795	0.06506523	-0.06746464
ENSMUSG00000087170	-0.020228248	-0.3059512	-0.32905132	-0.46728712	-0.09598378	-0.27560934
ENSMUSG00000030093	0.022130566	0.08452781	-0.18155113	0.14741729	0.040612172	0.18023147
ENSMUSG00000003623	0.056960247	0.30141428	-0.10463556	0.28257993	0.08079449	0.2697734
ENSMUSG00000030672	0.32486293	0.30166075	1.5242877	0.54382473	0.07401496	0.14924449
ENSMUSG00000034216	0.1393832	0.31319392	0.5302225	0.39718696	0.123359405	0.27339974
ENSMUSG00000023279	-0.23973536	-0.39732936	0.46432206	0.09573921	0.07063855	0.0046134386
ENSMUSG00000020396	0.10053615	0.5820498	0.04421446	0.23261791	0.15054065	0.3566824
