gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000079391	0.032609113	0.28553694	0.0057295146	0.2227884	-0.013228228	0.12309256
ENSMUSG00000008789	-0.006091905	-0.13855083	-0.19380303	-0.20090026	-0.063005336	-0.13524224
ENSMUSG00000049717	0.07293089	0.26509055	0.12533121	0.17670321	0.085967965	0.18448018
ENSMUSG00000097655	0.016885154	-0.033266965	-0.1477337	0.042681903	0.040297993	-0.02047091
ENSMUSG00000100534	-0.019831074	-0.17964727	-0.15176721	-0.19498368	-0.06763941	-0.12535755
ENSMUSG00000003484	0.034963995	-0.08422593	0.055964723	-0.09937749	0.06003747	-0.11989728
ENSMUSG00000061728	0.07107956	-0.09825038	-0.0063203224	-0.009540049	0.10536324	-0.03763987
ENSMUSG00000005078	0.03649735	0.37248316	0.11086252	0.26074	0.06968214	0.22282758
ENSMUSG00000066000	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000034329	0.03487814	0.2738452	-0.023931596	0.22954246	0.035476893	0.21306981
ENSMUSG00000032356	0.01146516	-0.13970256	-0.1496804	-0.078214556	-0.03833879	0.03933424
ENSMUSG00000038127	0.004015848	0.08482526	-0.14119019	-0.025043154	0.08208353	0.17263955
ENSMUSG00000028558	0.03806677	-0.109671324	0.033423893	-0.09872785	0.04330754	-0.05428821
ENSMUSG00000031119	-0.0047835708	0.0771695	0.0036823165	0.24633844	0.053732313	0.07147803
ENSMUSG00000058019	0.0028213907	-0.1251075	-0.021664804	-0.16047002	0.037222125	-0.084803864
ENSMUSG00000052137	0.060376678	0.24882251	0.13596289	0.16572943	0.06078829	0.15676208
ENSMUSG00000037321	0.045356095	0.0973255	-0.07461335	0.034776498	0.065237254	0.15419157
ENSMUSG00000057895	0.06834283	0.34229165	0.36917114	0.24220794	0.010671798	0.13419287
ENSMUSG00000110649	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000027955	0.026257573	-0.03533657	-0.094145164	0.049127374	0.02118838	-0.030149465
ENSMUSG00000099521	0.061415758	-0.13510439	-0.07179818	-0.12185894	0.08090497	-0.014581176
ENSMUSG00000037990	0.0166348	0.0793091	-0.15956546	0.10002123	0.0076076332	0.18267764
ENSMUSG00000115154	0.05716929	0.29857385	0.25432682	0.13541485	0.05208923	0.19274965
ENSMUSG00000098975	-0.043696947	-0.19780836	-0.18882811	-0.1319823	0.057871483	-0.06126853
ENSMUSG00000087622	0.011870443	-0.11190379	-0.18520443	-0.16274789	-0.07607553	-0.12391523
ENSMUSG00000070425	0.042759713	0.34216878	0.15849064	0.26878133	0.08433985	0.22062325
ENSMUSG00000032899	0.020063281	-0.110670716	-0.03804396	-0.12845327	-0.021694044	-0.058557898
ENSMUSG00000030207	0.029691916	0.067804165	0.022834385	0.06307916	0.047613166	0.07669071
ENSMUSG00000102279	0.066497646	-0.05309816	0.22790466	0.041864194	0.014554432	-0.066783965
ENSMUSG00000051238	0.04751777	0.28909034	0.21895261	0.24121585	0.07148363	0.13904639
ENSMUSG00000075054	0.06371572	0.33812374	0.35775077	0.24183846	0.05494746	0.17651515
ENSMUSG00000086541	0.022337513	-0.11741392	-0.027128154	-0.28238115	0.06322899	-0.17757241
ENSMUSG00000039097	0.031676695	-0.0693382	0.032183174	-0.0047836383	-0.00023549286	-0.011128019
ENSMUSG00000039313	0.011317213	-0.108658746	-0.17436618	-0.08400529	-0.037695836	0.055197
ENSMUSG00000073293	-0.036645826	-0.036553856	0.05343157	0.083291814	0.03218243	0.0337856
ENSMUSG00000026172	0.03344468	0.34670216	0.22863278	0.19311321	0.023371447	0.20239058
ENSMUSG00000113979	0.027527079	-0.053053904	-0.09210637	0.19088466	-0.020269785	-0.07341569
ENSMUSG00000046598	0.056472767	-0.09332419	0.051770214	-0.12683025	0.10397105	-0.060919728
ENSMUSG00000028909	0.028111966	0.047092866	-0.06261087	0.105885185	0.058911115	0.026141947
ENSMUSG00000051758	0.0055763437	-0.15045784	-0.17002189	-0.1384832	-0.04468319	-0.113107845
ENSMUSG00000040795	0.03765936	0.21214952	0.05589394	0.13791175	0.018702079	0.12626886
ENSMUSG00000036655	-0.022438902	-0.151527	-0.14657591	-0.21878792	0.044908356	-0.12927462
ENSMUSG00000047518	0.051551946	-0.12547621	0.085193604	-0.11105147	0.0441623	-0.02495929
ENSMUSG00000084766	0.057190962	-0.09423932	0.07681105	-0.07578467	0.04184881	-0.050184254
ENSMUSG00000021038	0.033755336	0.3445203	-0.015692905	0.22404766	-0.0118758185	0.21906488
ENSMUSG00000070345	0.03781196	0.086785585	-0.04328536	0.06526841	0.02318941	0.020665446
ENSMUSG00000029474	0.06592203	0.26788482	0.37001112	0.19885378	0.04514111	0.1688133
ENSMUSG00000090303	-0.015234406	-0.091807015	0.0777882	-0.10185602	-0.100640275	-0.13921131
ENSMUSG00000038242	0.017857136	-0.12274597	-0.18997172	-0.10099596	0.00094893714	-0.071538
ENSMUSG00000084998	0.08051301	0.34748358	0.36581695	0.22512288	0.08361567	0.14980137
ENSMUSG00000024758	0.04807935	0.29929355	0.17669721	0.27699974	0.0772092	0.16612181
ENSMUSG00000032422	0.03154815	0.3075423	0.0075368937	0.21385984	0.020596744	0.1913037
ENSMUSG00000118061	0.10299744	0.010922598	0.4577428	0.25166956	0.06649068	-0.06503573
ENSMUSG00000105185	0.001382285	-0.13730621	-0.17283908	-0.20256123	-0.04615031	-0.111080326
ENSMUSG00000047766	0.013109115	0.20770033	-0.18236579	0.10264133	-0.052001704	0.14938867
ENSMUSG00000023809	-0.038145673	-0.12390403	-0.22348167	-0.11219957	0.051367808	-0.08942395
ENSMUSG00000028898	0.06044028	0.27668983	0.33037648	0.21507233	0.05870119	0.16447562
ENSMUSG00000047696	-0.021595314	-0.56857556	-0.11425281	-0.31143528	-0.094086654	-0.2549188
ENSMUSG00000001700	0.021590998	-0.1093184	-0.08756628	-0.18568203	0.06050978	-0.107453704
ENSMUSG00000026617	0.055147953	0.15521301	0.42301938	0.25149858	0.043861933	0.04069789
ENSMUSG00000073434	0.034117915	0.20255655	0.0015457388	0.16090922	0.04374645	0.118755214
ENSMUSG00000083190	0.058109067	-0.12534279	0.10838488	-0.087113805	0.082213454	-0.07111721
ENSMUSG00000095028	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000048924	0.051965337	0.17872348	0.14083049	0.117671624	0.04191506	0.13214426
ENSMUSG00000084957	0.030567762	0.3945671	0.11726998	0.21211332	0.04231724	0.22735474
ENSMUSG00000029552	0.012441631	0.15059496	-0.10434292	0.06620594	0.027202949	0.14065848
ENSMUSG00000011254	0.03883822	0.2799529	0.28528383	0.1635855	-0.01946863	0.049758196
ENSMUSG00000033542	0.014467873	-0.090270616	-0.058188174	-0.05088237	-0.00685403	0.09280675
ENSMUSG00000100335	-0.010821516	-0.15973145	-0.10569781	-0.19249578	0.017344657	-0.08112964
ENSMUSG00000001444	0.0454616	0.09016103	-0.018050449	0.103454426	0.041444685	0.089229025
ENSMUSG00000026632	0.030606084	0.3940302	0.12862794	0.22436191	-0.048706323	0.19300269
ENSMUSG00000048922	0.04281466	0.37417844	0.16156876	0.17878526	0.06422376	0.2495611
ENSMUSG00000029234	0.046279777	0.35302597	0.2739793	0.20350689	0.06232716	0.19520998
ENSMUSG00000027048	0.029179461	-0.1351778	-0.09231153	-0.23028976	-0.035111282	-0.081575304
ENSMUSG00000115171	0.00033891154	-0.105629876	-0.20977044	0.038269907	-0.04908741	0.01728471
