gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000014402	0.028705878	0.007877022	0.017568089	0.029726421	0.051787473	0.06599406	0.01533417	0.06917624	-0.0035758642	0.0059759137	0.009317063	-0.010524677	0.046367582	0.07374456	0.031854566	0.078262396	-0.01652854	0.12110838
ENSMUSG00000020072	0.028637916	0.014146148	0.0164003	0.028978683	0.04698593	0.05365165	0.029944398	0.04016949	-0.005139824	0.03259574	0.017591817	-0.00024320495	0.0639607	0.062451065	0.049523916	0.07578033	-0.02121508	0.08848269
ENSMUSG00000020463	-0.012446518	-0.1772566	-0.01176254	0.02218594	0.037559193	-0.5090459	-0.004101809	-0.031021304	-0.018813571	-0.3001044	-0.004821766	0.032922614	0.018113118	-0.36623743	0.0019266268	-0.23660214	-0.01547009	-0.018259624
ENSMUSG00000025949	0.016826192	0.0076427283	0.0046712654	0.036906417	0.04697198	0.0617739	0.0050084754	0.056602	-0.0311253	0.050234653	0.0077705374	-0.014163346	0.036035296	0.060046844	0.023230866	0.095936984	-0.013849472	0.11633134
ENSMUSG00000034187	0.02788602	0.017154304	0.022328876	0.031799693	0.04242363	0.05851023	0.023936221	0.064970516	-0.007867604	0.03185142	0.008305104	-0.006863823	0.06258543	0.06564871	0.04298239	0.0814844	-0.023149448	0.095330745
ENSMUSG00000029439	0.031182878	0.0070751193	0.021851959	0.028354237	0.02716769	0.0652946	0.011452148	0.061774757	-0.0069082463	0.0020543402	0.01038146	-0.009484333	0.040980797	0.07317516	0.039058525	0.10411677	-0.023702241	0.09350577
ENSMUSG00000032745	0.0049035614	0.0073138927	0.0057789558	0.028093282	0.06254016	0.070354074	0.03570448	0.03234825	-0.01863412	0.00590378	0.008485293	-0.0038610867	0.07065514	0.07076202	0.026125863	0.060227256	-0.01968005	0.08059195
ENSMUSG00000024335	0.027145585	0.025497766	0.02532437	0.012500073	0.07117716	0.050846595	0.06992944	0.0057905447	0.00087690476	0.02063331	0.02251215	-0.0076385937	0.06922081	0.03956656	0.055807777	0.022843493	-0.012661713	-0.03976805
ENSMUSG00000024533	0.029591102	0.011005766	0.017861564	0.012372129	0.046549063	0.082541645	0.005802083	0.043036476	-0.0038659498	0.031165581	0.010406016	-0.01572744	0.05481966	0.05196482	0.03528657	0.037084553	-0.023362728	-0.0077216416
ENSMUSG00000041765	0.027554234	0.006554384	0.019846149	0.026863905	0.03410488	0.051277827	0.02390471	0.06638047	-0.0072284318	0.010334412	0.009838513	-0.006115848	0.054875996	0.0737026	0.037463307	0.07421402	-0.026589474	0.11370541
ENSMUSG00000097354	0.0113676125	-0.012263354	0.010136381	0.008113386	0.019022223	0.039971262	-0.012816425	-0.0033931865	-0.03266267	0.011358204	0.004967664	-0.0055690776	0.03532017	0.0383693	0.01686024	0.026171627	-0.016978284	-0.051161934
ENSMUSG00000042032	0.01593997	0.019993521	0.01000082	0.018236915	0.0392327	0.03801175	0.036095235	0.008269901	-0.023583656	0.012073263	0.01253201	-0.005023526	0.059219573	0.04094026	0.04452275	0.056079306	-0.021551521	0.031676635
ENSMUSG00000053460	0.034195468	0.019020265	0.021885347	0.01821252	0.026803084	0.057923127	0.01691322	0.07005005	-0.003751888	0.03757122	0.015168462	-0.008607131	0.056595635	0.042278755	0.047036916	0.03797818	-0.01823301	0.055265475
ENSMUSG00000020677	0.032581262	0.008012805	0.018686954	0.024297794	0.04857922	0.05123521	0.0074534877	0.07339733	-0.010028907	0.032390613	0.0071587744	-0.0073671723	0.041841503	0.061646868	0.03379746	0.06498497	-0.019472731	0.11216188
ENSMUSG00000036873	0.025993936	0.013156939	0.018076688	0.008959171	0.005600073	0.03526014	0.02968226	0.053799417	-0.016070502	0.003827736	0.0060983524	-0.01759598	0.005149741	0.06373645	0.033056334	0.059088547	-0.020861246	0.087405466
ENSMUSG00000030172	0.021904262	0.0051930244	0.012377795	0.026054498	0.03850942	0.058903992	0.012152004	0.06494317	-0.013737065	0.031608485	0.009101635	-0.007985329	0.045862347	0.069722936	0.026245013	0.07110855	-0.0147092985	0.1219235
ENSMUSG00000031154	0.010840716	0.0011938007	-0.0043120966	0.024965037	-0.048169557	0.0038634723	0.009950125	0.049497608	-0.041346073	0.0045443303	0.008624286	-0.03457125	-0.008599621	0.095773034	0.02387167	0.025912052	-0.016305432	0.093736716
ENSMUSG00000001415	0.035027724	0.0022328086	0.019407071	0.035386574	0.033573434	0.05821365	0.024231551	0.05837	-0.0048628673	0.042065784	0.013409295	-0.0039512	0.038202565	0.06690752	0.045001775	0.09364109	-0.024780344	0.08524211
