gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000073403	0.015172421	0.002714828	-0.012272725	0.0028857344	-0.018440478	-0.013113929	0.061663397	0.025736768	-0.02551947	0.0004202506	0.0052617122	-0.011421012	0.06630834	0.059380166	0.052441645	0.051384035	0.004113884	-0.0323117
ENSMUSG00000110676	0.03177294	0.009114104	0.0044918945	0.0126504265	0.07063713	0.026307743	0.019699043	-0.041038677	0.00079374755	0.014897425	0.015716951	-0.008124281	0.10496997	0.026785912	0.05944202	0.036336128	-0.017992206	-0.04982506
ENSMUSG00000093598	0.014888572	-0.005157495	0.0148617765	-0.0026598622	0.014575098	-0.0035274513	-0.024938174	-0.042648382	-0.019706758	0.033056818	0.005645304	-0.012535558	0.0035484855	0.006408675	0.033146303	0.02570724	-0.015271955	-0.062320217
ENSMUSG00000074749	0.022599543	0.0015476578	0.012553716	0.024223052	0.038111065	0.06110994	0.002039348	0.06944516	-0.007698248	-0.0041463524	0.009932206	-0.015586428	0.044342116	0.069074646	0.031612996	0.05516781	-0.017850412	0.1277185
ENSMUSG00000107872	0.016771238	0.012627405	0.010741166	-0.0006076418	0.017271092	-0.021761153	0.036202822	-0.02725836	-0.02994084	0.012028328	0.0042019133	-0.006455107	0.051145215	0.015306006	0.032788165	0.019772636	-0.01630658	-0.072688565
ENSMUSG00000049265	0.030043669	0.002243717	0.026455216	0.011498807	0.034157418	-0.02435689	0.05684336	0.028335249	-0.0133832	0.0045893444	0.012869823	-0.012604232	0.060841452	0.0653112	0.046316206	0.04939161	-0.026613247	-0.050009664
ENSMUSG00000074067	0.038447887	0.0073807524	0.012987439	0.018151317	0.027676735	-0.0029319625	-0.0035950334	-0.06543142	-0.0040306947	0.03182569	0.010657598	-0.0159734	0.03855115	0.0031880764	0.04131182	0.027206078	-0.019835863	-0.047946736
ENSMUSG00000114370	0.040588807	0.0040666317	0.011872533	0.008850065	0.041363697	0.002024787	0.008619861	-0.05040536	-0.023971107	0.02648942	0.01368906	-0.018857049	0.06169248	0.01463974	0.03594295	0.033816457	-0.016621606	-0.0533027
ENSMUSG00000056596	0.042257696	0.0044736797	0.023843776	0.0035571055	0.01446462	0.047012314	0.036964703	0.070199095	0.008906132	0.015793327	0.011693121	-0.0046145464	0.028142164	0.08090019	0.03999859	0.06257964	-0.019478578	0.07481101
ENSMUSG00000040822	0.00889344	-0.005663418	0.010857003	0.0111299325	-0.011551732	-0.017078694	0.07300038	0.08514819	-0.03373153	0.002101047	-0.011331219	-0.00915802	-0.02215548	0.11676831	0.036933757	0.05568788	-0.012728648	0.12753484
ENSMUSG00000072822	-0.024968138	-0.015127102	-0.033780202	0.015746307	-0.038631212	-0.19094963	-0.02911943	-0.03901771	-0.035244044	-0.042348225	-0.034159962	-0.008454536	-0.08932366	-0.08746113	-0.009281314	-0.030222239	-0.0055788946	-0.04161177
ENSMUSG00000018001	0.030294701	0.021037895	0.019592186	0.024710944	0.03679512	0.058074698	0.021013614	0.06510338	-0.010622985	0.037389345	0.008466585	-0.0074640657	0.049344216	0.063912414	0.041506756	0.08140318	-0.024476288	0.10319328
ENSMUSG00000042111	0.03252022	0.0068140626	0.012054663	0.023771623	0.04522722	0.04571489	0.012860541	0.059515867	-0.016786452	0.01844912	0.007695551	0.007861621	-0.0015781533	0.0417683	0.010146511	0.10300984	0.070364915	0.016761273
ENSMUSG00000021177	0.030830871	0.009856801	0.020689743	0.03703145	0.020948676	0.081364304	0.009290127	0.05726541	-0.0065562692	0.045101643	0.008752011	-0.01171818	0.041944817	0.07032096	0.03936647	0.07447208	-0.025936026	0.09478746
ENSMUSG00000063458	0.011978612	0.010096095	0.005821038	0.010506189	-0.007561183	0.0014823837	-0.019885495	0.012278837	-0.032607313	0.024729855	0.005694697	-0.008553607	-0.00050958263	0.05696806	0.022475203	0.010397612	-0.016754178	-0.0050743
ENSMUSG00000013846	0.033958476	0.016580854	0.027286794	0.017640144	0.041980844	0.05601168	0.008379312	0.05408205	0.00013341317	0.045276754	0.006937414	-0.008493087	0.022453679	0.055863906	0.04740717	0.043199968	-0.025415178	0.045755852
ENSMUSG00000025171	0.034905847	0.018270044	0.023492094	0.01836858	0.04005095	0.056549124	0.027859367	0.05393502	-0.0034658962	0.0433278	0.013173866	-0.0018638717	0.061462533	0.07060456	0.04726459	0.09040172	-0.024316154	0.08731891
ENSMUSG00000027022	-0.0032531288	-0.0034500426	0.0044240933	0.00033923282	0.01546508	0.059350703	-0.0018146493	-0.04566384	-0.03824596	0.00842647	-0.0011577538	-0.011202124	0.0023983757	-0.018516371	0.019227559	-0.015424654	-0.009242787	-0.05276722
ENSMUSG00000029507	0.037963208	0.016309626	0.020104237	0.023878139	0.03674046	0.044958394	0.024899645	0.06147621	-0.0026204055	0.032920364	0.0036904518	-0.0047062407	0.016967958	0.06351792	0.027855972	0.06602374	-0.015447588	0.058852218
ENSMUSG00000117981	0.017446514	-0.001918698	0.008231842	-0.0057271733	0.05294024	0.017306246	0.012545459	-0.012706887	-0.017421719	0.023706052	0.011029239	-0.005083281	0.043488763	0.02257164	0.03628017	-0.00310168	-0.014718774	-0.06808844
ENSMUSG00000006587	0.03033911	0.016432012	0.01773743	0.01841134	0.04151933	0.06395571	-0.003151484	0.054192405	-0.008641388	0.037996713	0.012032237	-0.008299513	0.06376806	0.053873528	0.03701135	0.06874347	-0.02178338	0.052443933
ENSMUSG00000032508	0.038352616	0.012658044	0.01943947	0.016961811	0.066388905	0.06856667	-0.03231798	0.017880378	-0.0039085126	0.023421124	0.009457676	-0.0046019396	0.0055963043	0.0420865	0.039426427	0.02322285	0.040728327	0.026186371
ENSMUSG00000086054	0.030953323	0.019758234	0.018827599	0.009383505	0.05945531	0.0077106683	0.055906758	0.0038843525	-0.008268492	0.026605329	0.018711934	-0.01793886	0.07619918	0.01651216	0.052851785	0.030481424	-0.010329353	-0.039596755
ENSMUSG00000097368	0.034967303	0.033875935	0.017034179	0.008189934	0.025383255	-0.0006026143	0.014111817	-0.034870848	-0.0069052475	0.05253927	0.010535439	-0.0047461684	0.07013752	-0.010433275	0.053455885	0.019454168	-0.021579536	-0.030970529
ENSMUSG00000112652	0.032655537	-0.0049201297	0.013249019	-0.0039344914	0.027109478	0.038304098	0.0041964003	-0.082944974	0.000107434	0.033313364	0.017845321	-0.014302321	0.060278688	0.012299618	0.05427285	0.033628654	-0.016980506	-0.044298094
ENSMUSG00000031639	0.027443977	0.023686871	0.018497031	0.0273647	0.045215975	0.026631244	-0.010742091	-0.0028934844	-0.016021322	0.05810918	0.014463206	-0.006202836	-0.018157803	0.02606136	0.0073372615	0.035198953	-0.015666543	0.025317218
ENSMUSG00000029477	0.034407098	0.01608477	0.013346786	0.011025776	0.06927629	0.022918327	0.06186518	-0.019392556	0.0042377976	0.012257815	0.018755184	-0.009664784	0.08540475	0.011579438	0.05093679	0.03423784	-0.015370864	-0.05875577
ENSMUSG00000022433	0.036451504	0.017210096	0.02717147	0.012582421	0.0664348	0.039470933	0.05503099	0.032595564	0.0095593305	0.031683285	0.01358655	-0.007462922	0.061881248	0.052575935	0.048350587	0.024259618	-0.017723344	-0.023857672
ENSMUSG00000021978	0.00915236	0.0038745918	-0.008791212	0.0359162	-0.06090877	-0.038983643	-0.0132223945	0.068450324	-0.03933728	0.005642106	0.007268471	-0.022395091	-0.019111691	0.101493776	0.019844472	0.055194516	-0.013267896	0.13311204
ENSMUSG00000073176	-0.018387185	0.0052350797	-0.0034942473	-0.012607867	-0.114604406	-0.016863212	-0.038430028	0.071171544	-0.03695126	-0.007189106	-0.0031767765	-0.013167736	-0.05869931	0.066176124	0.010546798	0.009960934	0.0096210865	0.031001419
ENSMUSG00000025982	0.011121148	0.017236834	0.010070832	0.027955977	0.058796737	0.072754994	0.021496374	0.04778196	-0.010890896	0.040395875	0.012824255	-2.1776807e-05	0.061999746	0.06381976	0.025501356	0.09202875	-0.017847558	0.083355255
ENSMUSG00000002781	0.030964948	0.008964716	0.016517406	0.028115148	0.031817608	0.069005355	0.026035659	0.06313589	-0.0030497788	0.025959028	0.010173283	-0.0035132237	0.06313652	0.054823365	0.044237856	0.07990431	-0.021918843	0.084878996
ENSMUSG00000021476	0.028423501	0.009346545	0.018404609	0.027074976	0.020083444	0.033581905	0.025482059	0.059294313	-0.009657173	0.003247794	0.009652497	-0.013452235	0.06981263	0.070544824	0.044490684	0.08030216	-0.029050127	0.12189929
ENSMUSG00000024831	0.029613048	0.0020339678	0.023566347	0.021776207	-0.005061381	0.043829463	-0.015634622	0.0562769	-0.015693082	0.037486605	0.0066665984	-0.015205238	-0.034076545	0.080001906	0.042101916	0.08480864	-0.03186258	0.106266655
ENSMUSG00000031603	0.023689603	0.0071372837	0.011600571	0.037029848	0.044081185	0.07899945	0.036011465	0.0629421	-0.015636556	0.044083882	0.0109704565	-0.002636962	0.043137	0.078274295	0.027850054	0.07877618	-0.021181444	0.12649104
ENSMUSG00000027309	0.029942095	0.016784824	0.026122138	0.012168281	0.03647349	0.0459841	0.01264157	0.06064791	-0.006133581	0.035959665	0.011452355	-0.013394173	0.036294993	0.06942613	0.041565724	0.07387505	-0.024216643	0.089301795
ENSMUSG00000053388	0.039227195	0.0044523673	0.030167691	0.009673245	0.041145235	0.009939617	0.012555561	0.03615583	0.0035704698	0.046856467	0.00448202	-0.004833765	0.0294533	0.04677337	0.043074336	0.018634904	-0.018057136	-0.004782581
ENSMUSG00000020386	-0.03052752	0.0044666384	-0.0443676	0.029714024	-0.102963716	0.055232737	-0.027839648	0.06037787	-0.055705138	0.0068761655	-0.017268559	-0.023720419	-0.082458615	0.08818698	-0.015587817	0.06960866	-0.005265518	0.038155038
ENSMUSG00000113506	-0.37156966	-0.065520585	-0.2091009	-0.14892595	-0.3846253	-0.3361151	-0.14856118	-0.04003567	0.2884612	-0.2860935	-0.09874979	0.12510684	-0.52073354	-0.44622302	-0.54738635	-0.5359513	0.2783261	-0.025848173
ENSMUSG00000021366	0.020785252	0.005618552	0.012547012	0.031464465	0.021521574	0.027890451	0.025570098	0.046801385	-0.021555299	0.013298133	0.006205478	-0.018119542	0.042054202	0.06354757	0.03483918	0.04868046	-0.023337286	0.09069595
ENSMUSG00000024524	0.02554597	0.009281851	0.019313818	0.016759913	0.029759437	0.05676531	0.02725977	0.05826854	-0.008456868	0.022679305	0.0075438647	-0.0050361506	0.04620325	0.06272759	0.035925858	0.08172602	-0.020470064	0.054568097
ENSMUSG00000038375	0.030755857	-0.00090802344	0.009995369	0.022095386	0.062523164	0.02318821	0.023714222	0.0633801	-0.0067702834	0.026716173	0.014054317	-0.0018212072	0.06204539	0.057739448	0.04538591	0.048401494	-0.01885486	0.07880869
