gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000023903	0.048484698	0.07429099	0.0023624655	0.057945132	0.016257634	0.02989545	0.053213194	0.07809929	0.024610579	0.004753044	0.024741452	0.040260807
ENSMUSG00000074934	0.039305195	0.04013973	-0.07974173	-0.00828429	0.014759243	-0.0004960983	0.035487868	0.08589745	0.013035839	0.0053205765	0.021758372	-0.027097411
ENSMUSG00000113533	-0.51201993	-0.4441135	-0.20157164	-0.39925876	-0.0023376064	0.09228865	-0.5267266	-0.70506495	-0.21535437	-0.0335696	-0.06782575	-0.13344252
ENSMUSG00000073724	-0.05770559	-0.06730684	-0.12506975	-0.075495526	-0.045285057	-0.019878011	-0.06925359	-0.045288794	-0.007975675	-0.00028291324	-0.029488191	-0.031700477
ENSMUSG00000054716	0.08135846	0.11341033	0.15850781	0.16294378	0.039636202	0.04053092	0.07036906	0.07706225	0.036097433	0.0056559644	0.022231366	0.08103844
ENSMUSG00000041247	-0.0071437494	-0.07742565	-0.08421732	-0.07359793	-0.019495398	-0.03291802	0.01359267	0.0046247263	0.0024602707	0.0023944569	-0.020631129	-0.051868033
ENSMUSG00000040940	0.07018586	0.09360717	0.04056647	0.07707941	0.02291623	0.007592298	0.062020168	0.06253581	0.014093122	0.005508713	0.023607384	0.013120631
ENSMUSG00000107689	0.04471583	-0.0017436873	0.08989884	0.07265998	-0.0062275515	-0.06530386	0.074303985	0.050064515	0.036793124	0.007964042	0.034690313	-0.019438777
ENSMUSG00000041530	0.050617706	0.15444387	0.09499894	0.13801539	0.023604164	0.043110076	0.05630846	0.078050464	0.026809517	0.0076302197	0.01652331	0.055091403
ENSMUSG00000079330	0.065402746	0.116201915	0.17050911	0.11465363	0.0130048795	0.0648357	0.063387096	0.08278702	0.026552679	0.008455372	0.018462945	0.031071333
ENSMUSG00000058057	0.060205508	-0.000792625	-0.009472375	-0.042389575	0.01660365	-0.039141674	0.06196858	0.0541797	0.02243038	0.008826479	0.03418451	-0.011003833
ENSMUSG00000102332	0.027758596	-0.13698019	-0.029487366	-0.14276645	-0.018844288	-0.031195894	0.055593565	-0.064019956	-0.008801856	-0.0069962824	-0.025652949	-0.045716733
ENSMUSG00000043460	0.022321159	0.044947714	-0.07750745	0.0006416732	0.011634462	0.020995298	0.05289487	0.08952293	0.01389854	0.005789077	0.029912759	0.044793963
ENSMUSG00000114722	0.004014645	-0.09216877	-0.10056515	-0.043303333	-0.011466029	-0.030427687	0.02488557	0.015260146	0.017882688	0.007139048	0.0055464655	-0.05711872
ENSMUSG00000072214	0.069908775	-0.0010312585	0.025705295	-0.011763755	0.0491937	-0.0065923925	0.09341326	0.06748368	0.029344998	0.007932212	0.059046157	-0.022397691
ENSMUSG00000120246	0.01330815	-0.04567228	-0.040926058	-0.021412317	-0.009740939	-0.04196266	0.07213341	0.049017042	0.005613359	0.0073912935	0.039194763	-0.016573748
ENSMUSG00000037390	0.00285238	-0.031375833	-0.09611994	-0.060014274	0.000383417	-0.05451635	0.046053965	0.011554138	0.007578322	0.007295556	0.017353553	-0.040468507
ENSMUSG00000044934	0.047726814	0.2207729	0.21318464	0.17348622	0.030057834	0.05697331	0.049517732	0.104822434	0.020656476	-0.0035964109	0.009367552	0.08944794
ENSMUSG00000069633	0.04070492	0.08493153	0.18395539	0.101397015	-0.028286597	-0.0059728357	0.059546996	0.0748831	0.021642568	0.009344944	0.009865797	0.06338544
ENSMUSG00000027636	0.038629103	-0.059429165	-0.01901604	-0.04668691	0.0038616043	-0.05681343	0.05198424	0.004757461	0.017420556	0.0030385933	0.020230584	0.007985932
