gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000063972	0.04292176	0.18317416	0.021105994	0.15254073	0.0031740575	0.074286304	0.048484363	0.120118804	0.021080397	0.00740481	0.0076643163	0.08478886
ENSMUSG00000054693	0.03687888	0.16577591	-0.009406264	0.10105801	-0.00075586146	0.058777176	0.049955938	0.12361865	0.017535605	0.0038832407	0.0001456873	0.09677052
ENSMUSG00000058290	0.052480552	0.11260981	0.024007011	0.10604877	0.0078356	0.059869345	0.06574583	0.06787919	0.021969045	0.008905883	0.022379968	0.07714767
ENSMUSG00000039209	0.05365669	0.062752195	0.06955686	0.11366455	-0.03311267	-0.042523332	0.06620073	0.0585831	0.013542334	0.010391318	0.014706222	0.0344574
ENSMUSG00000031728	0.040529307	0.17770717	0.08210362	0.14376259	0.00483362	0.055326097	0.036796954	0.09624908	0.024530267	0.008702997	0.021426506	0.07814846
ENSMUSG00000022523	0.007208084	0.02492308	-0.1029613	-0.016487366	0.014550878	-0.005845113	0.0038063251	0.07162762	0.00493984	0.0068916213	-0.011989839	-0.024266794
ENSMUSG00000020078	0.04895529	0.16073325	0.12511176	0.16320501	0.014825184	0.05956434	0.05428679	0.10100132	0.019234104	0.005509188	0.014793636	0.066995
ENSMUSG00000038187	0.04258537	0.22072563	0.028643854	0.17259108	-0.008594064	0.05633199	0.045269076	0.13748156	0.01433649	0.003957565	-0.017908333	0.09485872
ENSMUSG00000062797	0.046783235	0.15406604	0.08900148	0.16049667	0.01984075	0.060107358	0.063033156	0.09009326	0.020504927	0.007007723	0.013247618	0.060486548
ENSMUSG00000022120	0.022533126	0.079069115	-0.032847315	0.08339627	-0.023895543	0.0009797473	0.0026702709	0.11359034	0.014624127	0.0066021113	-0.0177854	0.106777
ENSMUSG00000033499	0.040857203	0.19709648	0.11509983	0.16482963	0.015092026	0.071661524	0.05887239	0.1223687	0.023847891	0.002461219	0.0112585835	0.094918564
ENSMUSG00000073650	0.0583827	0.049907688	0.013856239	0.026170222	0.04907911	-0.015270076	0.07176571	0.05989013	0.027293602	0.008282519	0.04420617	0.0057412395
ENSMUSG00000053931	0.049973007	0.18339974	0.14395508	0.17958967	0.032175615	0.0701833	0.06113334	0.091568105	0.026739225	0.0023527343	0.02235667	0.057324577
ENSMUSG00000026281	0.054029673	0.1636596	0.15880919	0.17164002	0.030460233	0.03295106	0.054260924	0.06306997	0.026602613	0.0075767343	-0.0027194456	0.024829546
ENSMUSG00000057649	0.03319913	0.24026008	0.024491632	0.16591427	-0.0039622225	0.054436628	-6.059437e-05	0.12946036	0.025905075	0.0033773833	0.015030715	0.083056405
ENSMUSG00000005373	0.056519654	0.08106153	0.083345525	0.11745614	0.018490674	0.016619975	0.067863174	0.06283332	0.021134537	0.008530479	0.027558831	0.010283612
ENSMUSG00000027864	0.04762788	0.13715976	0.029093536	0.07716609	0.011652744	0.064050175	0.055972576	0.08715176	0.021710286	0.003408451	0.020479742	0.067940965
ENSMUSG00000038503	0.053947333	0.13072348	0.12499887	0.12761588	0.023923634	0.040357564	0.02776991	0.10767251	0.014323433	0.0077273813	0.00093771063	0.08717468
