gene_id	PolII mean promoter	PolII mean gb	Pol2 mean promoter	Pol2 mean gb	Pol2ser5 mean promoter	Pol2ser5 mean gb
ENSMUSG00000075072	0.2342068	0.227479	1.06574	0.593497	0.312431	0.38338
ENSMUSG00000075073	0.1826696666666666	0.1980103333333333	1.10062	0.445451	0.636417	0.395939
ENSMUSG00000075074	0.237762	0.2506546666666666	0.27904	0.456679	0.248878	0.422854
ENSMUSG00000075075	0.2716643333333333	0.1946926666666666	0.288364	0.363698	0.830186	0.437984
ENSMUSG00000075078	0.2249773333333333	0.19204	0.0524924	0.705652	0.171548	0.237646
ENSMUSG00000075079	0.1884293333333333	0.1773773333333333	0.581909	0.59909	0.477312	0.388282
ENSMUSG00000075081	0.1511096333333333	0.2269013333333333	0.314956	0.487593	0.39776	0.391129
ENSMUSG00000075084	0.212875	0.2053186666666666	0.676534	0.618905	0.318208	0.276763
ENSMUSG00000075085	0.2388363333333333	0.202973	0.10982	0.394542	0.238656	0.38255
ENSMUSG00000075086	0.2296816666666666	0.205453	0.314956	0.196316	0.629306	0.399641
ENSMUSG00000075088	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075090	0.274164	0.1851526666666666	0.480722	0.307612	0.39776	0.330349
ENSMUSG00000075091	0.1919876666666666	0.2526226666666666	0.152643	0.480728	0.317764	0.145991
ENSMUSG00000075092	0.1874128666666666	0.190332	0.314956	0.170846	0.477312	0.517833
ENSMUSG00000075093	0.2244956666666666	0.1939653333333333	0.524925	0.388563	0.159104	0.354183
ENSMUSG00000075095	0.2352586666666666	0.25436	0.104985	0.428316	0.793743	0.243859
ENSMUSG00000075097	0.1530813333333333	0.2238016666666666	0.524927	0.31849	0.238656	0.351884
ENSMUSG00000075099	0.3108683333333333	0.2141433333333333	0.20997	0.311328	0.715969	0.289369
ENSMUSG00000075100	0.1619856666666666	0.2205963333333333	0.57742	0.535867	0.320875	0.422182
ENSMUSG00000075101	0.2100886666666666	0.2128726666666666	0.254865	0.354913	0.457313	0.277608
ENSMUSG00000075102	0.1756036666666666	0.2135456666666666	0.480376	0.377971	0.238656	0.442079
