"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000079671"	13.1917301755002	0.010428059211554	0.322907422726066	0.95388231846059	0.979704057150143
"ENSMUSG00000025912"	996.520007613896	-0.0963001557093198	0.0733875647803648	0.180771673366189	0.319128506405017
"ENSMUSG00000045210"	681.079509429912	0.0034529490326506	0.0869170681231838	0.968165378195707	0.986934420859505
"ENSMUSG00000097893"	59.0285012846894	-0.170442862954795	0.237407473825041	0.365405760180698	0.546556836962588
"ENSMUSG00000025915"	110.894891476324	0.170579983843674	0.189437220962804	0.300562045991159	0.472356832718924
"ENSMUSG00000098234"	2214.06776312394	-0.451665667175219	0.0564206099860269	5.4194073657198e-16	5.36964316857174e-15
"ENSMUSG00000099032"	8.16975428003757	0.0885231801989695	0.354797735042303	0.566941811490252	0.735295129235638
"ENSMUSG00000025916"	25.7517142135961	0.0602493986332892	0.288804843591567	0.754990837421216	0.869226138722326
"ENSMUSG00000025917"	709.990022479908	-0.322991362122235	0.0885152994250132	0.000168152231267661	0.000574048592003186
"ENSMUSG00000056763"	3487.85867132959	0.380091377448414	0.0511110286660702	5.92503474475536e-14	4.98210016127695e-13
"ENSMUSG00000067851"	2571.84844536453	0.13705608202355	0.0507368982628999	0.0063066422135063	0.0167533926568268
"ENSMUSG00000042501"	88.3612202159303	-0.00421525063886401	0.204899187018745	0.977617276476144	0.99094166485557
"ENSMUSG00000048960"	1064.13039413795	-0.412405068154174	0.0790476846960647	9.21753561685312e-08	4.51018970798944e-07
"ENSMUSG00000057715"	2396.68221030845	0.138129166269212	0.0521597917535228	0.00753932271537519	0.0197497245478401
"ENSMUSG00000016918"	2259.38007028122	0.0337950994897285	0.0573515044482054	0.548708453397579	0.7197484856702
"ENSMUSG00000025938"	382.993917757452	-0.353060838053647	0.118254797172184	0.00168366818653298	0.00491847168043994
"ENSMUSG00000099498"	212.949231600574	0.0263402774574362	0.142146581949342	0.839415000952668	0.918646879450282
"ENSMUSG00000042414"	542.629272385206	-0.133507987689905	0.0948947006382805	0.145476821905674	0.267838626542383
"ENSMUSG00000005886"	5407.66240088758	0.273432733956341	0.0407148887881458	1.42205069797191e-11	9.91610772470739e-11
"ENSMUSG00000101476"	7.99012558945924	0.172454722945331	0.388511657891148	0.284642335798887	0.4542548074171
"ENSMUSG00000025935"	1142.10300929774	0.328645843391119	0.0694039538691351	1.39880839316156e-06	6.08377359625976e-06
"ENSMUSG00000120948"	56.4162746653023	0.34119222217392	0.26580636039468	0.0968909653999531	0.190285497224716
"ENSMUSG00000025937"	1679.04432309055	-1.18770179644484	0.0691483691710593	4.2030694683495e-67	3.79027525438068e-65
"ENSMUSG00000067813"	14.150874917526	-0.0441613619212438	0.322282175373218	0.801674656064337	0.896045793949642
"ENSMUSG00000025932"	145.192524400172	0.0920582331635222	0.167825028792669	0.540544095551591	0.713299634643118
"ENSMUSG00000054493"	84.4430726942739	-0.284266411324605	0.232190937370791	0.130747227646664	0.244947661429172
"ENSMUSG00000032769"	91.6446201247303	0.597123286553162	0.235104796000788	0.00281869241581434	0.0079397210390835
"ENSMUSG00000092083"	58.4667897020131	0.0213485759102191	0.231249335975126	0.909105924269123	0.956241105308459
