"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000099032"	10.4514268242672	0.0676274551206423	0.281381820420471	0.50099135577945	0.753558275046956
"ENSMUSG00000025916"	9.81941898564436	-0.0257309176578126	0.273017459731393	0.796577377717172	0.916799043376958
"ENSMUSG00000025917"	872.936598823246	0.261325087777851	0.126539200856516	0.0215023422531558	0.103942473101418
"ENSMUSG00000056763"	3170.92093372876	0.150168229034291	0.0936483659822065	0.0925109854887989	0.286634948300562
"ENSMUSG00000067851"	2697.2787851085	0.557371874012137	0.104708869232932	2.14399671100233e-08	6.2845027775606e-07
"ENSMUSG00000042501"	65.3050945195592	-0.0893524924028313	0.221136039178336	0.546822774342595	0.780199932309855
"ENSMUSG00000048960"	1685.99040098668	0.366633605642524	0.105372852475389	0.000200888722742009	0.00225233924829306
"ENSMUSG00000057715"	2392.90659981502	0.0318403727875194	0.0976129854346517	0.733198759925199	0.885773624775954
"ENSMUSG00000016918"	1703.04403476717	-0.486641890412498	0.120590837000268	1.31457240225521e-05	0.000208506757949216
"ENSMUSG00000025938"	316.5097840591	-0.100560426438339	0.142123187111215	0.417298343204367	0.68845343970067
"ENSMUSG00000099498"	35.6077784824683	-1.6185978954635	0.470963981869737	2.93779255940171e-05	0.000424452718712568
"ENSMUSG00000042414"	192.961948990914	-0.131711170504165	0.167574858735186	0.339193803213274	0.618436592727201
"ENSMUSG00000005886"	2131.06528323676	0.0642701466467473	0.0973326885782441	0.491335973571022	0.748216080975478
"ENSMUSG00000101476"	6.75496314118024	-0.0263471864223919	0.280248034683355	0.744429354406969	NA
"ENSMUSG00000025935"	900.988618511485	0.0635675628788497	0.109589446188355	0.531716867750412	0.771132819518412
"ENSMUSG00000120948"	113.955610986252	0.814795514901023	0.258118436664839	0.000151378984964655	0.00177026571791457
"ENSMUSG00000025937"	1972.4027376376	-0.179571067250193	0.100657582171736	0.0575020264912535	0.209447482888649
"ENSMUSG00000067813"	22.0171731900087	-0.207596689491311	0.329658882741548	0.152722255594276	0.391551313863901
"ENSMUSG00000025932"	205.791362613909	0.0309461737967616	0.161380120876693	0.821294628418316	0.927149134529946
"ENSMUSG00000054493"	92.2445288399956	-0.00274296789644835	0.195046671756145	0.983740651335674	0.993716775019197
"ENSMUSG00000032769"	346.414487096551	0.381477757791178	0.151918988605601	0.00417171251752801	0.028683921369082
"ENSMUSG00000092083"	109.714370314443	1.20187802452077	0.267760913862125	4.22659682845413e-07	9.84687279294008e-06
"ENSMUSG00000025925"	4016.34537501694	-0.118727002788477	0.0936381190148204	0.176038848023569	0.427049716231916
"ENSMUSG00000032719"	303.81090174616	-0.269041265615771	0.160333988877294	0.0477143369660883	0.184226840661121
"ENSMUSG00000067795"	20.2944152941194	-0.0178006129549458	0.261009526216802	0.87412940241724	0.952944375728678
"ENSMUSG00000043716"	8695.93274471965	0.101016673628525	0.232407837137125	0.500160701644535	0.753158971443071
"ENSMUSG00000025921"	280.162281752999	0.111130548168612	0.148873512290273	0.385558947789099	0.660795066818444
"ENSMUSG00000025920"	872.355416029957	0.151816960564982	0.115159093227207	0.150780943382692	0.388071641799442
"ENSMUSG00000025939"	1448.92623057864	-0.0765427898702666	0.100948637213118	0.422385673380795	0.693015614489245
"ENSMUSG00000079658"	1347.02849397946	0.153348108368617	0.117784238392816	0.153125280936047	0.392080276150692
"ENSMUSG00000025940"	104.974975687835	0.0330172386416755	0.188046739127769	0.819959450580931	0.926540280082217
"ENSMUSG00000025779"	24.1664604794693	0.0168014166435086	0.250498107265176	0.897300867726642	0.96299708544305
"ENSMUSG00000101640"	553.268457038415	1.08314574818473	0.152955415216348	1.09327155801636e-13	7.9724384062014e-12
"ENSMUSG00000042686"	43.0697627764159	0.75198859738291	0.420232487636429	0.00547910757785679	0.035625121724963
"ENSMUSG00000025777"	2.16545033278113	0.0166620821334934	0.288018052215393	0.734221695383716	NA
"ENSMUSG00000067780"	1.60974795946514	-0.000262373642540246	0.28886546591939	0.995934629002528	NA
"ENSMUSG00000085125"	47.2923758273891	-0.341760133560726	0.332329958625698	0.0707414335882948	0.239627752331516
"ENSMUSG00000025776"	44.9348444692828	-0.138322246796519	0.253937419517017	0.357702640778793	0.637158938827402
"ENSMUSG00000099895"	65.9950421135671	-0.275409493619533	0.275013346409058	0.113919262643566	0.326745924426033
"ENSMUSG00000109887"	9.61928761822556	0.189142370089752	0.362131499275698	0.0617863790226673	0.219308637373888
"ENSMUSG00000025774"	5.37011391585033	-0.0411467529824157	0.284838629328185	0.585823804424597	NA
"ENSMUSG00000067773"	7.22856154783421	-0.0126325906950131	0.277436021660939	0.882398777988485	0.956571892575262
"ENSMUSG00000089787"	4.1747230136707	-0.0986728448031149	0.308186768855198	0.145391750448379	NA
"ENSMUSG00000042596"	52.8969991218128	-0.0739469105182521	0.225504858099557	0.614100876036427	0.820401818231864
"ENSMUSG00000025927"	4.75416946331044	0.137095932561318	0.331835437227349	0.0486893067547495	NA
"ENSMUSG00000043760"	245.30706651748	-0.652833158449196	0.178548884560975	3.75947549518793e-05	0.000524682872620274
"ENSMUSG00000099906"	1.52863112692496	-0.0549233915391679	0.298286030445143	0.104139668081001	NA
"ENSMUSG00000041872"	19.2924236482197	-0.087468241692324	0.2700100044593	0.487463339671951	0.745110107940315
"ENSMUSG00000041859"	3262.73111894595	0.0747250620893522	0.0942009602469625	0.398565420492997	0.67237646468106
"ENSMUSG00000025931"	202.199772196609	-0.209088199098143	0.172435857579794	0.136404049261046	0.3662359431519
"ENSMUSG00000041809"	62.7811913910332	-0.161313518750578	0.239337547770642	0.301832637474828	0.580387881431298
"ENSMUSG00000041779"	556.990968925032	-0.0403352115254022	0.131422540614615	0.729516248779091	0.883694642588741
"ENSMUSG00000100819"	10.356979856515	-0.0735706274025257	0.283454543403581	0.462945485655367	0.725942226151365
"ENSMUSG00000025933"	42.5307386830102	0.0593424485452036	0.233453909427941	0.681091954547544	0.857518182870088
"ENSMUSG00000025934"	26.5165994924472	-0.186862799728861	0.304039038299485	0.205360091928922	0.465376302063619
"ENSMUSG00000099343"	48.8726011225526	-0.166263390158391	0.252080228664986	0.288257440057328	0.565661611021464
"ENSMUSG00000028033"	1093.51927805015	2.64693070747364	0.12282014449423	1.76298353712855e-104	1.36409844775123e-100
"ENSMUSG00000041670"	547.525413503873	0.770093990023372	0.139216927101532	3.96310865753243e-09	1.29733952933347e-07
"ENSMUSG00000101227"	9.28536043896776	0.0378445240679874	0.275481669110963	0.702371141581391	0.86968401090324
"ENSMUSG00000026158"	131.88834128662	0.247617046934661	0.203656473510056	0.11245643800156	0.324248986631202
"ENSMUSG00000026156"	150.195300230479	0.131050863737466	0.177556069569766	0.360659153130863	0.639441050406657
