	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000087403	0.101122074	-0.03904102	0.66623074	0.34138966	-0.053094648	0.1794347	-0.28612998	0.0469288	-0.14460984	0.10009315
ENSMUSG00000034457	0.10238592	-0.09380712	0.8301966	0.3591492	0.12906404	0.24897999	-0.3323778	-0.077909954	-0.13916862	0.20128232
ENSMUSG00000012848	-0.06253024	0.011040828	0.5143635	0.21705887	0.6014848	0.6158617	0.24794918	0.105981074	0.019543653	0.13363901
ENSMUSG00000019124	-0.055779014	0.019995097	-0.014489912	-0.07220323	-0.040549234	0.3709529	-0.03659323	0.22177812	0.020563869	-0.2493094
ENSMUSG00000005251	-0.082130566	0.06141284	-0.00045133708	-0.03362238	0.014784803	0.5021167	0.13940537	0.2857601	0.037617233	-0.35747898
ENSMUSG00000086019	-0.000115662726	0.0037246929	-0.1380974	0.062403087	0.052160878	-0.3738007	-0.10416002	-0.24152726	0.026308123	0.084632784
ENSMUSG00000006589	-0.057555433	0.0034068543	0.51344115	0.044032123	0.47940373	0.40306643	0.23704648	0.112868205	0.012260787	0.058586337
ENSMUSG00000085101	0.04208315	0.010038455	0.06966332	-0.010477698	0.15770017	0.11153893	0.08205067	-0.049315795	0.052327994	0.15468895
ENSMUSG00000116771	0.02914233	0.011367838	-0.16201335	0.030676164	0.26612166	0.49835968	0.008003346	-0.04922947	0.06636342	0.1710606
ENSMUSG00000029207	-0.04230214	0.016841557	0.07971984	-0.05500456	0.039247826	0.60414696	0.0054382207	0.27646402	0.023942577	-0.30103675
ENSMUSG00000056758	-0.07117829	0.106003515	-0.23302095	-0.13872962	0.10992528	0.5352166	0.3045201	0.24251191	-0.012896416	-0.53394717
ENSMUSG00000022415	-0.08381145	0.004644561	0.19375126	-0.006583029	0.18311712	0.508714	0.1415516	0.21206763	0.018972354	-0.07690049
ENSMUSG00000030888	-0.07009585	0.015455187	0.24693103	-0.005406193	0.429227	0.41720557	0.20787199	0.16949476	-0.013762127	-0.1369589
ENSMUSG00000031297	-0.0006014741	0.010745818	0.7779917	0.10297644	0.4637998	0.21133877	-0.10501439	0.043102473	0.00958484	0.108249694
ENSMUSG00000097726	-0.039568797	0.0910886	-0.20168413	-0.120512284	-0.02670896	0.17105882	0.1902967	0.25903875	0.02526708	-0.47474414
ENSMUSG00000040653	-0.015117765	0.043345768	-0.16526987	-0.15652373	-0.05642094	0.35636303	-0.06998007	0.3093051	0.021654459	-0.39950863
ENSMUSG00000015291	0.054815177	-0.06366619	0.8420802	0.3030705	-0.017837396	0.10347292	-0.5712073	-0.23970866	-0.12431833	0.16945128
ENSMUSG00000011179	-0.012609022	0.008898798	0.48805285	0.07051108	0.6239965	0.53304106	0.1006331	0.20969568	0.06304968	0.052046638
ENSMUSG00000091243	-0.015382658	0.01274118	-0.24264391	-0.10821823	-0.114260525	0.40847182	-0.007785196	0.3075151	0.024914572	-0.27661723
ENSMUSG00000050334	-0.07149968	0.04080594	-0.36767524	-0.1002685	0.0460749	0.107437044	0.2662019	0.26168847	-0.049598735	-0.30119014
ENSMUSG00000026173	-0.029820295	-0.009100313	-0.19117013	-0.044901617	-0.09739911	-0.21442367	0.1027171	-0.10641181	0.020774761	0.062347736
ENSMUSG00000036632	-0.04714275	0.0025457714	0.49972218	0.07801645	0.0126049435	0.51522434	0.06939894	0.17565928	0.026395984	0.01746034
ENSMUSG00000006299	-0.04193747	0.0020746314	0.7337395	0.05061516	0.033162262	0.38392496	0.10342407	0.118329994	0.017419461	0.02063502
ENSMUSG00000026469	0.026345067	-0.0016024596	0.05507743	-0.029374238	-0.10728413	0.5076333	0.018026039	0.1890719	0.01142718	-0.06037353
ENSMUSG00000037492	-0.006514231	0.0020752624	-0.2142652	-0.03824571	-0.06410061	-0.35130942	-0.06623201	-0.124282405	0.027230702	0.115052536
