	PolII mean gb	PolII mean promoter
ENSMUSG00000031839	-0.1916262815695104	0.3732478991947819
ENSMUSG00000110016	-0.3928687272412623	-0.0087551348302616
ENSMUSG00000020549	-0.0429939588325223	0.4501896582682489
ENSMUSG00000056494	-0.4746493499408013	-0.907719485597488
ENSMUSG00000068246	-0.1585088844289694	-0.0607133319140747
ENSMUSG00000071660	-0.1492938620367479	0.469161386159718
ENSMUSG00000024269	-0.1475867415693648	0.4893959217271294
ENSMUSG00000071068	-0.1273759904809241	0.1425446329660532
ENSMUSG00000030695	0.0720586335467094	-0.1343078452017325
ENSMUSG00000118114	-0.6184245764485565	-0.8741675369814556
ENSMUSG00000050379	-0.3859378111006017	0.1858719008041012
ENSMUSG00000101332	-0.4225240786269565	-0.4849995951851474
ENSMUSG00000043456	-0.2758165712131837	-0.1495292331785392
ENSMUSG00000075702	0.1611837623976464	-0.0851834502134433
ENSMUSG00000032463	-0.0932498288880798	0.5301328193902881
ENSMUSG00000115591	-0.4053725742000301	-0.3087147822203773
ENSMUSG00000101565	-0.3198952044687549	-0.3282079190771897
ENSMUSG00000091911	-0.8407577468841082	-0.978871920085915
ENSMUSG00000026245	-0.0083583527061036	0.4104590277471431
ENSMUSG00000033540	-0.0773881894816242	0.4648872946389179
ENSMUSG00000087269	-0.1851061063507267	0.3653913810644457
ENSMUSG00000087652	-0.0356290990449096	0.0564554669926825
ENSMUSG00000066975	0.0791121153407904	-0.3169590887804634
ENSMUSG00000117436	-0.2887258888229942	-0.2390248817761118
ENSMUSG00002075770	-0.1845666420678904	-0.5306769878731851
ENSMUSG00000004099	-0.0070571612846082	-0.2693783945744537
ENSMUSG00000109656	-0.1737472378475816	0.0428149974067894
ENSMUSG00000114457	-0.2610912326185824	0.0917078180368527
ENSMUSG00000096528	-0.2169434060491938	-0.145545788837322
ENSMUSG00000055197	-0.209489933891934	-0.2070126150281651
ENSMUSG00000103273	-2.0	-2.0
ENSMUSG00000020788	-0.025808227918369	0.310779568040474
ENSMUSG00000020752	-0.0134442130207442	0.3044241721586806
ENSMUSG00000092473	-0.4977428070712305	-0.4788946465893322
ENSMUSG00000097433	-0.0139833405140098	-0.0739772170485262
ENSMUSG00000027244	-0.0481092297322478	0.4084278927265642
ENSMUSG00000024218	0.0048408403833366	0.2357879360722279
ENSMUSG00000038664	-0.0809256750140855	0.5585818628321135
ENSMUSG00000027947	-0.0544292052020851	0.371814760574064
ENSMUSG00000121333	-2.0	-2.0
ENSMUSG00000070604	-0.001301182652958	-0.1698572733426242
ENSMUSG00000020180	-0.0204395162055815	0.4617973578149387
ENSMUSG00000091345	-0.3258624288679114	-0.4049305664016963
